992,-207,160,-2106227326,1
968,-151,208,-2106227286,1
976,-159,192,-2106227246,1
984,-175,152,-2106227206,1
976,-159,152,-2106227166,1
1024,-159,152,-2106227126,1
1032,-143,96,-2106227086,1
1024,-135,120,-2106227046,1
1032,-127,128,-2106227006,1
1032,-111,160,-2106226966,1
992,-159,160,-2106226926,1
984,-175,96,-2106226886,1
976,-159,104,-2106226846,1
952,-167,152,-2106226806,1
1000,-159,144,-2106226766,1
960,-55,336,-2106226726,1
976,-127,168,-2106226686,1
936,-191,88,-2106226646,1
328,-623,432,-2106226606,1
664,1096,-1055,-2106226566,1
1520,2272,-1375,-2106226504,1
-279,-535,1488,-2106226464,1
1904,-1111,-287,-2106226424,1
2176,1056,-1343,-2106226384,1
872,-47,480,-2106226344,1
456,-175,112,-2106226304,1
896,-103,152,-2106226264,1
1136,-263,264,-2106226224,1
1208,-351,136,-2106226184,1
1264,-399,152,-2106226144,1
1296,-375,128,-2106226104,1
1240,-383,72,-2106226064,1
1192,-335,168,-2106226024,1
1104,-287,88,-2106225984,1
1024,-319,72,-2106225944,1
960,-239,72,-2106225904,1
960,-279,8,-2106225864,1
920,-167,120,-2106225824,1
984,-231,-23,-2106225784,1
944,-119,120,-2106225744,1
904,-223,-39,-2106225704,1
888,-231,-15,-2106225664,1
904,-175,32,-2106225624,1
864,-207,-95,-2106225584,1
800,-143,-143,-2106225544,1
824,-71,-175,-2106225483,1
872,-71,-71,-2106225443,1
856,-55,-207,-2106225403,1
848,64,-327,-2106225363,1
856,88,-199,-2106225323,1
872,88,-127,-2106225283,1
872,112,-127,-2106225243,1
848,112,-199,-2106225203,1
832,96,-191,-2106225163,1
840,64,-151,-2106225123,1
808,-15,-239,-2106225083,1
840,-95,-103,-2106225043,1
816,-159,-135,-2106225003,1
784,-167,-119,-2106224963,1
792,-183,-39,-2106224923,1
872,-287,56,-2106224883,1
928,-287,16,-2106224843,1
920,-407,208,-2106224803,1
968,-367,144,-2106224763,1
960,-423,200,-2106224723,1
984,-399,136,-2106224683,1
984,-487,144,-2106224643,1
1016,-487,240,-2106224603,1
960,-535,144,-2106224563,1
976,-527,176,-2106224523,1
1000,-495,136,-2106224461,1
1024,-487,216,-2106224421,1
1040,-495,184,-2106224381,1
1048,-543,176,-2106224341,1
1064,-535,152,-2106224301,1
1072,-551,184,-2106224261,1
1056,-527,80,-2106224221,1
1032,-439,80,-2106224181,1
984,-431,-7,-2106224141,1
968,-415,40,-2106224101,1
1016,-351,112,-2106224061,1
1016,-303,88,-2106224021,1
1024,-311,48,-2106223981,1
984,-295,72,-2106223941,1
1000,-327,40,-2106223901,1
1008,-367,56,-2106223861,1
1000,-367,72,-2106223821,1
976,-311,104,-2106223781,1
928,-311,88,-2106223741,1
968,-295,144,-2106223701,1
960,-271,48,-2106223661,1
968,-279,64,-2106223621,1
976,-295,32,-2106223581,1
1040,-311,72,-2106223541,1
992,-287,32,-2106223501,1
912,-247,40,-2106223440,1
888,-183,-191,-2106223400,1
816,-231,216,-2106223360,1
920,-255,112,-2106223320,1
952,-279,80,-2106223280,1
968,-295,24,-2106223240,1
960,-263,48,-2106223200,1
976,-287,48,-2106223160,1
984,-263,64,-2106223120,1
976,-287,72,-2106223080,1
968,-295,80,-2106223040,1
968,-287,64,-2106223000,1
976,-287,48,-2106222960,1
1008,-295,72,-2106222920,1
1008,-279,56,-2106222880,1
1560,-383,48,-2106218134,2
1288,-359,-31,-2106218094,2
888,-999,384,-2106218054,2
-447,-1583,512,-2106218014,2
-1327,-2247,952,-2106217974,2
1376,-2111,88,-2106217934,2
2664,-167,-903,-2106217894,2
2776,1512,-991,-2106217854,2
1896,1488,-551,-2106217814,2
1976,328,136,-2106217774,2
1320,120,-63,-2106217734,2
1248,-39,-23,-2106217694,2
1128,-191,32,-2106217654,2
1088,-271,56,-2106217614,2
1056,-335,64,-2106217574,2
1056,-367,40,-2106217534,2
1072,-383,-15,-2106217494,2
1072,-383,16,-2106217454,2
1096,-383,0,-2106217414,2
1096,-351,-31,-2106217374,2
1120,-367,-31,-2106217312,2
1072,-343,16,-2106217272,2
1040,-367,24,-2106217232,2
1024,-431,0,-2106217192,2
1032,-279,32,-2106217152,2
1064,-391,-167,-2106217112,2
1048,-351,-87,-2106217072,2
1016,-295,-119,-2106217032,2
984,-287,-127,-2106216992,2
952,-199,-111,-2106216952,2
904,-135,-47,-2106216912,2
888,-127,-127,-2106216872,2
896,-151,-87,-2106216832,2
920,-183,-103,-2106216792,2
960,-231,-119,-2106216752,2
936,-191,-127,-2106216712,2
928,-135,-199,-2106216672,2
904,-103,-255,-2106216632,2
872,-95,-207,-2106216592,2
904,-71,-143,-2106216552,2
920,-63,-119,-2106216512,2
928,-39,-183,-2106216472,2
912,-31,-247,-2106216432,2
944,32,-151,-2106216392,2
912,72,-215,-2106216352,2
936,32,-223,-2106216291,2
952,32,-215,-2106216251,2
936,-7,-207,-2106216211,2
936,24,-239,-2106216171,2
952,-23,-207,-2106216131,2
928,16,-247,-2106216091,2
864,32,-199,-2106216051,2
800,-15,-279,-2106216011,2
752,-87,-95,-2106215971,2
768,-71,-151,-2106215931,2
808,-103,-191,-2106215891,2
872,-151,-71,-2106215851,2
856,-159,-127,-2106215811,2
936,-327,-23,-2106215771,2
872,-263,-39,-2106215731,2
944,-343,-7,-2106215691,2
936,-415,56,-2106215651,2
992,-439,64,-2106215611,2
1016,-447,112,-2106215571,2
1024,-455,96,-2106215531,2
1040,-455,56,-2106215491,2
1016,-479,80,-2106215451,2
1024,-463,88,-2106215411,2
1032,-487,136,-2106215371,2
1024,-479,136,-2106215331,2
1000,-479,192,-2106215270,2
984,-471,232,-2106215230,2
968,-455,216,-2106215190,2
976,-487,224,-2106215150,2
976,-503,160,-2106215110,2
968,-439,104,-2106215070,2
856,-511,136,-2106215030,2
864,-471,88,-2106214990,2
944,-439,128,-2106214950,2
920,-423,96,-2106214910,2
904,-383,104,-2106214870,2
976,-335,152,-2106214830,2
1056,-519,72,-2106214790,2
1056,-479,112,-2106214750,2
1048,-423,80,-2106214710,2
1000,-391,64,-2106208942,3
904,-375,8,-2106208902,3
944,-367,8,-2106208862,3
928,-359,40,-2106208822,3
944,-359,128,-2106208782,3
976,-367,40,-2106208742,3
968,-375,24,-2106208702,3
960,-335,56,-2106208662,3
984,-343,48,-2106208622,3
976,-335,56,-2106208582,3
928,-335,88,-2106208542,3
960,-351,40,-2106208502,3
968,-351,48,-2106208462,3
992,-375,-23,-2106208422,3
1032,-367,96,-2106208382,3
944,-415,-15,-2106208342,3
976,-247,112,-2106208302,3
968,-311,48,-2106208262,3
952,-263,64,-2106208222,3
104,120,-279,-2106208182,3
568,-1791,1176,-2106208122,3
-1743,-623,632,-2106208082,3
-2119,-1799,1160,-2106208042,3
-2991,-1399,736,-2106208002,3
-2463,-1927,856,-2106207962,3
-1615,-695,-335,-2106207922,3
-727,-631,80,-2106207882,3
80,-439,-7,-2106207842,3
576,-351,64,-2106207802,3
880,-423,96,-2106207762,3
1000,-415,80,-2106207722,3
1072,-439,-15,-2106207682,3
1080,-383,-15,-2106207642,3
1064,-399,-23,-2106207602,3
1056,-375,72,-2106207562,3
1024,-311,136,-2106207522,3
1008,-375,0,-2106207482,3
968,-335,120,-2106207442,3
944,-351,96,-2106207402,3
904,-327,-23,-2106207362,3
880,-279,-15,-2106207322,3
864,-271,-23,-2106207282,3
896,-271,-63,-2106207242,3
912,-279,-55,-2106207202,3
944,-311,-87,-2106207162,3
952,-319,-111,-2106207100,3
952,-279,-87,-2106207060,3
912,-295,-175,-2106207020,3
904,-207,-119,-2106206980,3
864,-175,-159,-2106206940,3
880,-95,-191,-2106206900,3
888,-79,-191,-2106206860,3
904,-95,-295,-2106206820,3
928,-63,-295,-2106206780,3
928,-31,-239,-2106206740,3
928,-31,-223,-2106206700,3
944,-39,-159,-2106206660,3
952,-47,-207,-2106206620,3
968,-47,-231,-2106206580,3
960,-23,-239,-2106206540,3
912,-15,-351,-2106206500,3
864,8,-263,-2106206460,3
864,-87,-191,-2106206420,3
856,-135,-143,-2106206380,3
840,-103,-255,-2106206340,3
832,-143,-191,-2106206300,3
832,-319,-23,-2106206260,3
864,-303,-71,-2106206220,3
832,-319,-87,-2106206180,3
880,-351,80,-2106206140,3
896,-367,112,-2106206080,3
960,-423,160,-2106206040,3
960,-463,128,-2106206000,3
1016,-471,184,-2106205960,3
960,-447,152,-2106205920,3
984,-423,168,-2106205880,3
920,-407,200,-2106205840,3
944,-423,136,-2106205800,3
944,-471,128,-2106205760,3
968,-479,176,-2106205720,3
968,-503,152,-2106205680,3
984,-535,240,-2106205640,3
1000,-527,176,-2106205600,3
1024,-543,224,-2106205560,3
992,-511,88,-2106205520,3
976,-431,176,-2106201795,4
944,-423,128,-2106201755,4
952,-423,192,-2106201715,4
968,-471,232,-2106201675,4
912,-455,80,-2106201635,4
888,-431,120,-2106201595,4
920,-399,184,-2106201555,4
984,-415,136,-2106201515,4
944,-391,120,-2106201475,4
888,-335,136,-2106201435,4
968,-439,248,-2106201395,4
1000,-423,144,-2106201355,4
984,-407,152,-2106201315,4
952,-399,88,-2106201275,4
896,-375,56,-2106201235,4
896,-383,152,-2106201195,4
912,-327,120,-2106201155,4
560,112,176,-2106201115,4
-967,-183,424,-2106201075,4
-1399,-1479,1664,-2106201035,4
1344,-1999,-15,-2106200973,4
2712,-1471,-527,-2106200933,4
3400,-1159,-815,-2106200893,4
3248,-1119,256,-2106200853,4
1632,-951,128,-2106200813,4
1504,-695,256,-2106200773,4
1208,-639,120,-2106200733,4
1104,-527,144,-2106200693,4
1056,-415,176,-2106200653,4
1040,-503,80,-2106200613,4
1024,-359,224,-2106200573,4
1032,-463,24,-2106200533,4
1024,-423,120,-2106200493,4
992,-383,120,-2106200453,4
992,-391,16,-2106200413,4
984,-319,72,-2106200373,4
968,-343,-39,-2106200333,4
944,-303,64,-2106200293,4
936,-303,56,-2106200253,4
952,-271,56,-2106200213,4
936,-223,48,-2106200173,4
968,-231,-23,-2106200133,4
936,-183,40,-2106200093,4
928,-207,-55,-2106200053,4
912,-231,-55,-2106200013,4
920,-271,-87,-2106199952,4
904,-287,-87,-2106199912,4
912,-239,-119,-2106199872,4
920,-223,-95,-2106199832,4
872,-199,-95,-2106199792,4
840,-143,-247,-2106199752,4
872,-111,-239,-2106199712,4
912,-95,-263,-2106199672,4
936,-103,-279,-2106199632,4
928,-143,-279,-2106199592,4
872,-135,-239,-2106199552,4
864,-103,-159,-2106199512,4
872,-231,-39,-2106199472,4
816,-191,-247,-2106199432,4
800,-167,-223,-2106199392,4
792,-239,-151,-2106199352,4
824,-295,-103,-2106199312,4
840,-327,-79,-2106199272,4
848,-343,-47,-2106199232,4
920,-359,32,-2106199192,4
912,-367,80,-2106199152,4
968,-439,64,-2106199112,4
888,-423,88,-2106199072,4
960,-511,80,-2106199032,4
976,-519,120,-2106198992,4
1016,-519,96,-2106198930,4
968,-519,136,-2106198890,4
1000,-471,128,-2106198850,4
944,-495,72,-2106198810,4
960,-503,120,-2106198770,4
968,-527,112,-2106198730,4
1000,-567,248,-2106198690,4
1008,-575,184,-2106198650,4
1032,-583,264,-2106198610,4
1016,-583,80,-2106198570,4
1032,-551,96,-2106198530,4
992,-551,64,-2106198490,4
984,-511,96,-2106198450,4
864,-191,-175,-2106198410,4
800,-279,216,-2106198370,4
1008,-295,184,-2106194645,5
976,-383,104,-2106194605,5
944,-343,160,-2106194565,5
928,-359,112,-2106194525,5
944,-367,176,-2106194485,5
976,-423,152,-2106194445,5
960,-455,152,-2106194405,5
952,-431,32,-2106194365,5
928,-367,40,-2106194325,5
944,-343,88,-2106194285,5
976,-399,56,-2106194245,5
1112,-639,280,-2106194205,5
1480,-591,264,-2106194165,5
320,-1135,688,-2106194125,5
-1447,464,0,-2106194085,5
1320,-1351,192,-2106194045,5
2696,-1607,-215,-2106194005,5
3384,-2439,232,-2106193965,5
1112,-87,-303,-2106193925,5
1008,-871,408,-2106193885,5
1056,-351,-15,-2106193823,5
1016,-247,-79,-2106193783,5
976,-311,40,-2106193743,5
1032,-383,72,-2106193703,5
1048,-415,56,-2106193663,5
1072,-455,48,-2106193623,5
1080,-431,64,-2106193583,5
1072,-439,48,-2106193543,5
1072,-487,80,-2106193503,5
1056,-487,64,-2106193463,5
1040,-455,104,-2106193423,5
1040,-511,64,-2106193383,5
1008,-415,136,-2106193343,5
1008,-463,72,-2106193303,5
992,-367,160,-2106193263,5
968,-407,64,-2106193223,5
960,-359,112,-2106193183,5
904,-327,-15,-2106193143,5
920,-319,-39,-2106193103,5
904,-239,8,-2106193063,5
904,-255,-31,-2106193023,5
912,-255,48,-2106192983,5
904,-279,64,-2106192943,5
888,-247,32,-2106192903,5
904,-199,-7,-2106192863,5
880,-199,-47,-2106192801,5
944,-207,-7,-2106192761,5
944,-231,-55,-2106192721,5
968,-247,-127,-2106192681,5
968,-231,-55,-2106192641,5
856,-95,-375,-2106192601,5
880,0,-191,-2106192561,5
936,-7,-47,-2106192521,5
936,-95,-79,-2106192481,5
928,-127,-87,-2106192441,5
952,-95,-143,-2106192401,5
952,-47,-183,-2106192361,5
944,-23,-255,-2106192321,5
904,-23,-199,-2106192281,5
848,-15,-175,-2106192241,5
808,-127,-95,-2106192201,5
832,-119,-127,-2106192161,5
752,-183,-135,-2106192121,5
808,-239,-71,-2106192081,5
832,-319,32,-2106192041,5
872,-367,32,-2106192001,5
880,-359,80,-2106191961,5
928,-359,144,-2106191921,5
944,-407,136,-2106191881,5
984,-455,104,-2106191841,5
984,-503,88,-2106191780,5
984,-487,168,-2106191740,5
992,-535,192,-2106191700,5
960,-551,200,-2106191660,5
984,-519,152,-2106191620,5
952,-543,152,-2106191580,5
984,-527,160,-2106191540,5
984,-559,160,-2106191500,5
1000,-559,128,-2106191460,5
1040,-559,80,-2106191420,5
1040,-535,96,-2106191380,5
1024,-527,80,-2106191340,5
1040,-519,64,-2106191300,5
1008,-495,56,-2106191260,5
976,-519,56,-2106191220,5
952,-423,0,-2106186472,6
944,-343,48,-2106186432,6
968,-351,-39,-2106186392,6
960,-367,-23,-2106186352,6
944,-383,128,-2106186312,6
960,-383,64,-2106186272,6
1064,-391,8,-2106186232,6
952,-375,-39,-2106186192,6
968,-359,0,-2106186152,6
