-935,256,-47,-2131689084,1
-983,248,-71,-2131689044,1
-999,240,-71,-2131689004,1
-959,280,-39,-2131688964,1
-999,360,24,-2131688924,1
-959,288,-95,-2131688884,1
-999,240,-95,-2131688844,1
-983,184,-7,-2131688804,1
-967,312,64,-2131688764,1
-991,368,-79,-2131688724,1
-983,320,-167,-2131688684,1
-951,224,-63,-2131688644,1
-695,-135,176,-2131688604,1
-1247,1184,-775,-2131688564,1
-2023,-871,592,-2131688524,1
-1119,1520,-1055,-2131688484,1
-2599,-47,160,-2131688444,1
-255,-1175,808,-2131688404,1
-959,-1319,200,-2131688364,1
-1087,-199,-95,-2131688324,1
-1047,-119,-15,-2131688262,1
-1039,72,-15,-2131688222,1
-1023,120,-7,-2131688182,1
-1023,176,0,-2131688142,1
-975,248,-39,-2131688102,1
-1007,256,8,-2131688062,1
-1007,216,-183,-2131688022,1
-1007,272,-215,-2131687982,1
-1015,272,-383,-2131687942,1
-1031,296,-439,-2131687902,1
-1079,296,-607,-2131687862,1
-1119,304,-639,-2131687822,1
-1159,312,-831,-2131687782,1
-1215,328,-831,-2131687742,1
-1279,312,-815,-2131687702,1
-1319,312,-759,-2131687662,1
-1295,304,-647,-2131687622,1
-1215,328,-591,-2131687582,1
-1127,280,-599,-2131687542,1
-983,312,-599,-2131687502,1
-879,224,-719,-2131687462,1
-759,240,-695,-2131687422,1
-655,144,-743,-2131687382,1
-511,176,-671,-2131687342,1
-351,160,-591,-2131687302,1
-231,152,-455,-2131687241,1
-111,144,-319,-2131687201,1
24,120,-271,-2131687161,1
96,112,-335,-2131687121,1
160,88,-407,-2131687081,1
176,40,-527,-2131687041,1
200,32,-599,-2131687001,1
152,0,-623,-2131686961,1
104,56,-607,-2131686921,1
48,24,-639,-2131686881,1
-47,-7,-543,-2131686841,1
-151,72,-575,-2131686801,1
-295,48,-439,-2131686761,1
-423,72,-567,-2131686721,1
-575,48,-631,-2131686681,1
-1159,184,32,-2131681933,2
-1151,-791,608,-2131681893,2
104,-1743,648,-2131681853,2
-1951,-1735,728,-2131681813,2
720,-1983,528,-2131681773,2
2192,-47,-919,-2131681733,2
-943,160,160,-2131681693,2
-1335,-359,88,-2131681653,2
-911,96,-47,-2131681613,2
-871,184,-79,-2131681573,2
-919,216,-63,-2131681533,2
-895,192,-167,-2131681493,2
-959,136,-287,-2131681453,2
-991,152,-279,-2131681413,2
-1031,136,-471,-2131681373,2
-1063,176,-535,-2131681333,2
-1087,248,-527,-2131681293,2
-1119,192,-559,-2131681253,2
-1127,232,-607,-2131681213,2
-1135,272,-703,-2131681173,2
-1151,272,-679,-2131681112,2
-1167,304,-727,-2131681072,2
-1159,264,-719,-2131681032,2
-1127,328,-759,-2131680992,2
-1047,280,-783,-2131680952,2
-999,272,-751,-2131680912,2
-911,240,-671,-2131680872,2
-767,232,-655,-2131680832,2
-671,232,-671,-2131680792,2
-535,232,-695,-2131680752,2
-407,216,-719,-2131680712,2
-271,152,-719,-2131680672,2
-175,136,-751,-2131680632,2
-87,120,-703,-2131680592,2
0,152,-623,-2131680552,2
104,120,-591,-2131680512,2
216,160,-559,-2131680472,2
264,104,-631,-2131680432,2
296,136,-463,-2131680392,2
320,104,-631,-2131680352,2
304,96,-495,-2131680312,2
304,40,-631,-2131680272,2
280,48,-423,-2131680232,2
264,0,-575,-2131680192,2
216,24,-455,-2131680152,2
128,88,-583,-2131680090,2
-15,16,-407,-2131680050,2
-135,64,-551,-2131680010,2
-287,48,-679,-2131679970,2
-391,120,-567,-2131679930,2
-623,136,-879,-2131679890,2
-767,200,-719,-2131679850,2
-911,144,-911,-2131679810,2
-999,96,-911,-2131679770,2
-1079,112,-935,-2131679730,2
-1103,128,-911,-2131679690,2
-1143,136,-903,-2131679650,2
-1159,48,-775,-2131679610,2
-1183,120,-591,-2131679570,2
-1127,96,-631,-2131679530,2
-983,192,16,-2131675803,3
-975,192,-7,-2131675763,3
-959,200,-183,-2131675723,3
-975,192,-79,-2131675683,3
-967,200,-55,-2131675643,3
-927,224,-23,-2131675603,3
-983,168,56,-2131675563,3
-1007,112,136,-2131675523,3
-999,200,-23,-2131675483,3
-1031,264,-95,-2131675443,3
-999,256,-55,-2131675403,3
-1015,192,32,-2131675363,3
-423,376,-87,-2131675323,3
-1695,1368,-615,-2131675283,3
-2647,-479,1064,-2131675243,3
144,1016,-1191,-2131675203,3
-1871,2120,-375,-2131675163,3
-2975,504,920,-2131675123,3
-1871,1224,-839,-2131675083,3
-1871,400,-111,-2131675043,3
-1327,88,16,-2131674983,3
-1167,240,-399,-2131674943,3
-1111,224,-647,-2131674903,3
-1191,152,-559,-2131674863,3
-1167,176,-615,-2131674823,3
-1159,208,-583,-2131674783,3
-1191,216,-727,-2131674743,3
-1223,224,-695,-2131674703,3
-1239,264,-687,-2131674663,3
-1207,264,-679,-2131674623,3
-1127,304,-703,-2131674583,3
-1087,256,-807,-2131674543,3
-1007,304,-655,-2131674503,3
-903,280,-791,-2131674463,3
-815,304,-783,-2131674423,3
-695,240,-767,-2131674383,3
-599,256,-631,-2131674343,3
-487,184,-679,-2131674303,3
-343,160,-623,-2131674263,3
-223,128,-583,-2131674223,3
-95,240,-535,-2131674183,3
40,128,-415,-2131674143,3
120,168,-431,-2131674103,3
192,120,-423,-2131674063,3
248,144,-431,-2131674023,3
264,112,-615,-2131673961,3
296,96,-639,-2131673921,3
304,112,-655,-2131673881,3
208,136,-623,-2131673841,3
176,136,-583,-2131673801,3
56,104,-423,-2131673761,3
24,64,-559,-2131673721,3
-15,24,-439,-2131673681,3
-167,128,-791,-2131673641,3
-295,176,-847,-2131673601,3
-407,184,-719,-2131673561,3
-519,144,-1007,-2131673521,3
-631,176,-743,-2131673481,3
-735,152,-943,-2131673441,3
-783,224,-879,-2131673401,3
-1359,256,-831,-2131666611,4
-1327,232,-743,-2131666571,4
-1223,264,-543,-2131666531,4
-1095,248,-543,-2131666491,4
-943,232,-463,-2131666451,4
-775,232,-503,-2131666411,4
-615,144,-583,-2131666371,4
-463,192,-607,-2131666331,4
-335,104,-743,-2131666291,4
-223,144,-743,-2131666251,4
-111,112,-839,-2131666211,4
-31,112,-767,-2131666171,4
56,120,-751,-2131666131,4
136,64,-759,-2131666091,4
224,96,-559,-2131666051,4
272,72,-487,-2131666011,4
336,136,-455,-2131665971,4
368,72,-519,-2131665931,4
384,96,-607,-2131665891,4
384,40,-727,-2131665851,4
368,48,-719,-2131665790,4
344,40,-711,-2131665750,4
304,48,-647,-2131665710,4
232,24,-671,-2131665670,4
216,64,-583,-2131665630,4
136,88,-695,-2131665590,4
88,64,-599,-2131665550,4
-15,56,-807,-2131665510,4
-111,64,-639,-2131665470,4
-263,72,-871,-2131665430,4
-383,104,-679,-2131665390,4
-495,120,-927,-2131665350,4
-615,128,-719,-2131665310,4
-727,128,-959,-2131665270,4
-791,40,-839,-2131665230,4
-863,152,-103,-2131659662,5
104,264,64,-2131659622,5
1000,1256,-1087,-2131659582,5
1392,-1087,624,-2131659542,5
2480,352,-959,-2131659502,5
904,2168,-1039,-2131659462,5
-215,-247,712,-2131659422,5
176,-55,-7,-2131659382,5
-703,-39,-183,-2131659342,5
-975,64,-183,-2131659302,5
-1007,112,-223,-2131659262,5
-983,128,-303,-2131659222,5
-999,160,-247,-2131659182,5
-1023,176,-279,-2131659142,5
-1031,192,-255,-2131659102,5
-1031,192,-127,-2131659062,5
-999,256,-39,-2131659022,5
-967,256,-31,-2131658982,5
-935,256,-55,-2131658942,5
-935,248,-103,-2131658902,5
-959,248,-95,-2131658862,5
-959,216,-183,-2131658822,5
-943,232,-175,-2131658782,5
-967,208,-231,-2131658742,5
-975,240,-175,-2131658702,5
